VAF,freq,cumfreq,invVAF,prediction,residuals
0.214,4,115,4.672897196261682,77.80517998661746,37.19482001338254
0.215,5,111,4.651162790697675,74.46470714282711,36.53529285717289
0.216,3,106,4.62962962962963,71.15516460314588,34.84483539685412
0.217,3,103,4.6082949308755765,67.876124759683,35.123875240317005
0.218,8,100,4.587155963302752,64.62716785056368,35.37283214943632
0.219,2,92,4.566210045662101,61.40788178079714,30.59211821920286
0.22,5,90,4.545454545454546,58.217861948028485,31.782138051971515
0.221,2,85,4.524886877828054,55.05671107302234,29.943288926977658
0.222,5,83,4.504504504504505,51.924039034728075,31.075960965271925
0.223,4,78,4.484304932735426,48.81946270978162,29.180537290218382
0.224,4,74,4.464285714285714,45.74260581630806,28.257394183691943
0.225,6,70,4.444444444444445,42.69309876188753,27.306901238112467
0.226,2,64,4.424778761061947,39.67057849555914,24.32942150444086
0.227,2,62,4.405286343612334,36.67468836373589,25.32531163626411
0.228,2,60,4.385964912280701,33.70507796991109,26.294922030088912
0.229,7,58,4.366812227074235,30.761403038041127,27.238596961958873
0.23,3,51,4.3478260869565215,27.843325279491797,23.156674720508203
0.231,5,48,4.329004329004329,24.95051226344072,23.04948773655928
0.232,5,43,4.310344827586206,22.082637290631368,20.917362709368632
0.233,2,38,4.291845493562231,19.239379270378414,18.760620729621586
0.234,5,36,4.273504273504273,16.42042260072592,19.57957739927408
0.235,12,31,4.25531914893617,13.625457051666181,17.37454294833382
0.236,4,19,4.237288135593221,10.854177651327335,8.145822348672665
0.237,4,15,4.219409282700422,8.106284575041892,6.893715424958108
0.238,3,11,4.201680672268908,5.381483037212696,5.618516962787304
0.239,5,8,4.184100418410042,2.6794831858924497,5.320516814107551
0.24,3,3,4.166666666666667,0.0,3.0
